country,year,donors,pop,pop.dens,gdp,gdp.lag,health,health.lag,pubhealth,roads,cerebvas,assault,external,txp.pop,world,opt,consent.law,consent.practice,consistent,ccode
Australia,NA,NA,17065,0.220443289,16774,16591,1300,1224,4.8,136.5953706,682,21,444,0.937591562,Liberal,In,Informed,Informed,Yes,Oz
Australia,1991,12.09,17284,0.223272301,17171,16774,1379,1300,5.4,122.2517936,647,19,425,0.925711641,Liberal,In,Informed,Informed,Yes,Oz
Australia,1992,12.35,17495,0.225997969,17914,17171,1455,1379,5.4,112.8322378,630,17,406,0.914547013,Liberal,In,Informed,Informed,Yes,Oz
Australia,1993,12.51,17667,0.228219841,18883,17914,1540,1455,5.4,110.5450841,611,18,376,0.90564329,Liberal,In,Informed,Informed,Yes,Oz
Australia,1994,10.25,17855,0.230648399,19849,18883,1626,1540,5.4,107.9809577,631,17,387,0.896107533,Liberal,In,Informed,Informed,Yes,Oz
Australia,1995,10.18,18072,0.233451575,21079,19849,1737,1626,5.5,111.6091191,592,16,371,0.885347499,Liberal,In,Informed,Informed,Yes,Oz
Australia,1996,10.59,18311,0.236538943,21923,21079,1846,1737,5.6,107.5856043,576,17,395,0.87379171,Liberal,In,Informed,Informed,Yes,Oz
Australia,1997,10.26,18518,0.239212941,22961,21923,1948,1846,5.7,95.42067178,525,17,385,0.864024193,Liberal,In,Informed,Informed,Yes,Oz
Australia,1998,10.48,18711,0.241706088,24148,22961,2077,1948,5.9,93.7950938,516,16,410,0.855111966,Liberal,In,Informed,Informed,Yes,Oz
Australia,1999,8.67,18926,0.244483428,25445,24148,2231,2077,6.1,93.20511466,493,15,409,0.845397865,Liberal,In,Informed,Informed,Yes,Oz
Australia,2000,10.23,19153,0.247415782,26545,25445,2379,2231,6.2,94.86764476,474,16,393,0.83537827,Liberal,In,Informed,Informed,Yes,Oz
Australia,2001,9.53,19413,0.250774426,27461,26545,2504,2379,6.2,89.47612425,449,15,367,0.824189976,Liberal,In,Informed,Informed,Yes,Oz
Australia,2002,10.48,19663,0.254003891,28168,27461,2629,2504,6.2,87.21965112,424,14,341,0.813711031,Liberal,In,Informed,Informed,Yes,Oz
Australia,NA,NA,NA,NA,NA,28168,2754,2629,NA,NA,NA,NA,NA,NA,Liberal,In,Informed,Informed,Yes,Oz
Austria,NA,NA,7678,9.15573575,18914,17425,1344,1255,5.2,202.9174264,953,16,614,0.651211253,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1991,27.6,7755,9.24755545,19860,18914,1419,1344,5.2,200,942,12,590,0.644745326,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1992,23.1,7841,9.350107322,20601,19860,1551,1419,5.5,178.9312588,880,14,549,0.637673766,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1993,26.2,7906,9.427617458,21119,20601,1674,1551,5.9,162.2818113,828,13,551,0.632431065,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1994,21.4,7936,9.463391367,21940,21119,1739,1674,5.9,168.5987903,803,11,561,0.630040323,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1995,21.5,7948,9.47770093,22817,21940,1865,1739,5.8,152.2395571,774,10,527,0.629089079,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1996,24.7,7959,9.49081803,23798,22817,1986,1865,5.8,129.0363111,801,11,499,0.628219626,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1997,19.5,7968,9.501550203,24364,23798,1848,1986,5.3,138.6797189,770,9,470,0.62751004,Corporatist,Out,Presumed,Presumed,Yes,Aus
